,RandomID,Seqplates
589,3200115,7_A6
590,3213554,5_A12
591,3213554,5_B1
592,3227141,17_G7
593,3230207,14_C12
594,3237658,15_H6
595,3238816,22_H5
596,3242814,20_A10
597,3248787,19_H6
598,3251316,5_C2
599,3263632,16_D3
600,20643,3_B5
601,20643,6_F7
602,23595,6_D4
603,26244,16_D2
604,26666,3_F9
605,26898,3_G10
606,27220,6_A6
607,27674,25_C4
608,28250,7_E6
609,30478,19_G9
610,30711,9_H11
611,45988,8_E6
612,47393,3_C7
613,48115,3_C3
614,48115,3_B4
615,48875,3_D7
616,52477,21_F10
617,53057,3_B1
618,53057,3_F4
619,53114,3_E5
620,53837,1_G1
621,58166,4_H6
622,58166,4_D11
623,60192,4_C3
624,60192,4_H9
625,61108,4_F8
626,61108,4_A8
627,62599,4_B5
628,66903,7_A4
629,67469,4_D9
630,71092,4_F11
631,71809,4_A2
632,71816,4_A1
633,77712,2_F10
634,77712,3_E7
635,79808,4_G6
636,80130,4_G8
637,80130,4_C11
638,80130,4_C10
639,91317,4_G2
640,91317,4_F2
641,94840,1_A2
642,95565,20_D10
643,101532,4_E7
644,102428,11_C12
645,103295,25_D6
646,103295,17_F8
647,104704,2_E8
648,111542,5_B4
649,113942,4_E1
650,113942,4_F4
651,115940,24_C9
652,118241,20_C8
653,118456,22_H4
654,119803,11_A2
655,122026,7_H6
656,122026,10_F6
657,127184,25_D1
658,139527,1_E2
659,141702,8_C10
660,154714,15_G9
661,154714,19_C1
662,156894,4_C5
663,156894,4_G3
664,156894,4_G9
665,157857,4_C8
666,158970,2_D6
667,159300,10_B11
668,171794,1_B1
669,171794,1_A1
670,172790,4_G10
671,177268,4_D2
672,179270,4_D3
673,179270,4_F3
674,183731,13_D4
675,184625,21_D9
676,186315,15_F5
677,188094,4_C2
678,191175,7_A7
679,192239,14_F2
680,192510,25_B5
681,200830,14_C10
682,201316,4_F5
683,201316,4_H7
684,202133,4_F1
685,211274,13_C11
686,211594,2_E2
687,223440,4_H3
688,223440,4_B7
689,223440,4_C7
690,226430,1_F10
691,226430,7_C7
692,226430,3_D5
693,226430,3_D11
694,226430,3_F3
695,235659,7_D7
696,245199,23_G11
697,245199,21_H4
698,246569,15_B2
699,248874,1_C11
700,248874,1_D11
701,249666,20_D7
702,250529,5_A3
703,254221,1_B8
704,257784,17_A9
705,278267,18_D5
706,285862,17_A2
707,287818,1_E9
708,288892,14_H2
709,297145,19_G3
710,301893,15_G4
711,305040,13_D8
712,310119,8_D7
713,313373,6_D1
714,327958,14_A9
715,374469,15_D3
716,378467,13_G4
717,382652,17_F1
718,383664,14_B8
719,384689,7_H7
720,390453,7_B8
721,391000,21_G6
722,418578,11_C3
723,438692,17_C9
724,442639,12_C4
725,445473,11_B8
726,462262,8_B6
727,483045,1_G11
728,486488,14_D11
729,494040,22_C7
730,528048,7_C8
731,552878,1_A12
732,571715,19_G6
733,572787,23_G5
734,573777,7_D8
735,575092,18_H6
736,576959,20_B6
737,583250,17_A6
738,587842,22_C1
739,606367,25_F6
740,614685,19_G8
741,625655,8_F6
742,633714,7_E8
743,637880,18_H9
744,657910,11_H1
745,658231,14_D2
746,660509,25_F5
747,663371,22_G4
748,666726,1_C3
749,666726,1_D3
750,666726,3_B2
751,678285,14_G6
752,680220,11_A12
753,693784,6_G1
754,695817,9_C2
755,702167,20_D4
756,703837,7_G8
757,705522,9_F2
758,708748,17_C1
759,710786,11_F6
760,717265,18_A3
761,732705,20_G2
762,734032,7_H8
763,734032,7_A9
764,740035,23_D12
765,744871,14_H5
766,760326,17_G6
767,764579,8_G11
768,766867,9_G2
769,771699,6_B3
770,775245,1_E3
771,776771,10_B2
772,784957,11_C8
773,788344,7_C9
774,790623,25_A5
775,797100,8_B10
776,805515,16_F9
777,807728,7_D9
778,812440,20_H7
779,818825,14_D4
780,836343,7_E9
781,838912,7_F9
782,839196,7_G9
783,839851,11_F12
784,844144,20_B3
785,844239,21_F1
786,844409,11_D8
787,847937,13_A10
788,848960,14_B11
789,848960,19_A1
790,858455,17_G9
791,861222,10_A12
792,865203,20_B11
793,869584,21_D3
794,870935,7_C10
795,873172,13_A4
796,874086,17_G12
797,876875,13_B4
798,882818,16_F8
799,882908,11_B12
800,882908,15_B9
801,885045,7_F10
802,890126,25_F11
803,890397,2_D1
804,896162,8_H8
805,896416,10_H2
806,904499,11_E8
807,905738,21_G5
808,909063,11_A5
809,916541,7_H10
810,918791,7_A11
811,919413,17_F6
812,938322,3_G11
813,938675,18_B9
814,940560,2_G8
815,943536,9_F3
816,947305,18_A5
817,947986,23_C7
818,952021,14_D1
819,952624,6_B6
820,957751,16_C7
821,964087,25_B4
822,969696,11_H6
823,972102,7_D11
824,972102,10_G4
825,981553,20_A12
826,991830,18_D1
827,994880,1_H10
828,995713,24_B2
829,997092,11_E2
830,999991,10_A3
831,1001239,17_G10
832,1023623,17_H11
833,1023623,23_B12
834,1025262,5_A5
835,1040782,25_B6
836,1051011,10_F7
837,1051011,13_D7
838,1057916,9_E6
839,1057916,10_D7
840,1057916,25_G5
841,1058016,12_C8
842,1068752,9_B1
843,1068852,6_F3
844,1069438,16_C11
845,1076381,19_G11
846,1077637,18_B1
847,1090247,20_G4
848,1105088,15_A5
849,1106389,17_G1
850,1151792,24_G9
851,1158512,14_F12
852,1169048,20_G12
853,1171400,1_C12
854,1189952,5_C4
855,1189952,5_C5
856,1197831,14_B4
857,1198143,22_F5
858,1200347,16_D9
859,1200347,21_G7
860,1200992,12_G5
861,1202239,19_G10
862,1202681,25_F2
863,1207104,11_C10
864,1209979,16_H7
865,1218949,1_B5
866,1221652,11_B5
867,1226836,13_A2
868,1228738,11_G8
869,1231356,7_H11
870,1235273,19_G5
871,1242100,5_A9
872,1246293,21_C12
873,1246529,7_A1
874,1246916,20_C11
875,1251959,5_A7
876,1253026,15_D2
877,1299999,7_B12
878,1305530,6_G9
879,1308541,12_E8
880,1308541,16_C5
881,1323397,24_F9
882,1327418,12_G11
883,1330197,23_C1
884,1330197,23_F8
885,1338167,7_C12
886,1341773,13_E5
887,1342574,5_B9
888,1346727,25_C1
889,1349786,13_B2
890,1351410,10_B9
891,1351410,12_B7
892,1351410,17_D8
893,1359163,11_D10
894,1359304,17_C12
895,1360545,9_F10
896,1368133,16_F4
897,1369693,7_F12
898,1370445,2_G5
899,1395672,2_A10
900,1400706,9_G10
901,1407579,11_D3
902,1407579,13_F10
903,1426483,17_A3
904,1428801,18_B12
905,1428801,17_F5
906,1479429,19_F10
907,1486186,7_G12
908,1504727,6_A2
909,1509130,23_A5
910,1510654,23_D1
911,1513624,12_F4
912,1515529,2_H4
913,1515529,2_A7
914,1527306,12_F8
915,1545501,2_A5
916,1606519,22_H3
917,1630468,8_H11
918,1646739,16_C2
919,1679479,15_C7
920,1684530,7_F3
921,1694137,16_G7
922,1696731,7_E4
923,1698358,8_B7
924,1701972,7_D4
925,1703799,9_A7
926,1733826,12_F1
927,1733826,15_H1
928,1758904,22_H6
929,1760318,2_B7
930,1771888,9_G12
931,1776474,12_B6
932,1776474,13_F1
933,1776474,13_C9
934,1782270,21_G11
935,1788457,19_D8
936,1789292,13_B7
937,1794020,19_H8
938,1796584,12_E1
939,1818500,8_E9
940,1819568,16_G4
941,1820489,9_F8
942,1837933,9_E4
943,1844098,8_C1
944,1853180,1_A10
945,1855818,19_B5
946,1860738,1_D10
947,1863990,9_A1
948,1864563,23_F7
949,1886229,12_H8
950,1887522,12_B3
951,1897215,11_C5
952,1897215,12_A10
953,1901096,8_F7
954,1901100,8_D1
955,1905256,1_D5
956,1907609,23_H4
957,1911158,8_A2
958,1911387,8_C2
959,1913022,14_G7
960,1914718,8_E2
961,1916921,8_G2
962,1916922,8_A3
963,1916922,19_F6
964,1923315,20_D2
965,1932051,15_F9
966,1934106,19_D10
967,1934732,20_A9
968,1945859,20_H1
969,1951961,13_C2
970,1956237,8_B3
971,1961011,10_F10
972,1964093,11_F10
973,1975636,11_B3
974,1988382,9_C5
975,1997225,19_F4
976,2005258,21_D1
977,2016070,2_B5
978,2016772,10_D1
979,2018335,9_D5
980,2018743,12_D7
981,2018743,19_C6
982,2021047,19_G7
983,2022807,20_H5
984,2027986,25_F4
985,2028611,10_H10
986,2030659,11_B6
987,2034834,23_G10
988,2037217,8_H12
989,2040184,12_D12
990,2042850,25_F9
991,2045097,11_D1
992,2049718,8_D3
993,2056204,5_B6
994,2056204,5_B7
995,2061284,10_F5
996,2067247,13_F2
997,2076818,19_G2
998,2088752,20_B1
999,2101440,20_H11
1000,2108467,16_H2
